Authors,Year,Title,Journal,Report Book Conference,Group,Family,Species,Keywords,Suggested Citation,sUAS Platform,sUAS Model,Sensors,Refs Chk
"Koski, W.R., G. Gamage, A.R. Davis, T. Mathews,
B. LeBlanc, and S.H. Ferguson",2015,"Evaluation of UAS for photographic re-identification of bowhead whales, Balaena mysticetus",Journal of Unmanned Vehicle Systems,,Marine mammals,Balaenidae,"bowhead whale, Balaena mysticetus","disturbance, species identification, individual identification, Nunavut","Koski, W.R., G. Gamage, A.R. Davis, T. Mathews,
B. LeBlanc, and S.H. Ferguson. 2015. Evaluation of UAS for photographic re-identification of bowhead whales, Balaena mysticetus. Journal of Unmanned Vehicle Systems 3: 22-29.",Fixed-wing,Brican Flight Systems TD100E,two GoPro cameras and Nikon D800,
"Koski, W.R., P. Abgrall, amd S.B. Yazvenko",2010,An inventory and evaluation of unmanned aerial systems for offshore surveys of marine mammals,Journal of Cetacean Research and Management,,Marine mammals,,,review,"Koski, W.R., P. Abgrall, amd S.B. Yazvenko. 2010. An inventory and evaluation of unmanned aerial systems for offshore surveys of marine mammals. Journal of Cetacean Research and Management 11: 239–247.",,,,
"Koski, W.R., T. Allen, D. Ireland, G. Buck, P.R. Smith, A.M. Macrander, M.A. Halick, C. Rushing, D.J. Sliwa, and T.L. McDonald",2009,Evaluation of an Unmanned Airborne System for Monitoring Marine Mammals,Aquatic Mammals,,Marine mammals,,simulated whales (3-m long inflatable kayaks),"review, species detection rate, wind, Washington","Koski, W.R., T. Allen, D. Ireland, G. Buck, P.R. Smith, A.M. Macrander, M.A. Halick, C. Rushing, D.J. Sliwa, and T.L. McDonald. 2009. Evaluation of an Unmanned Airborne System for Monitoring Marine Mammals. Aquatic Mammals 35: 347-357.",Fixed-wing,Insight A-20,"National Television
Standards Committee (NTSC) video camera",
"Kotik, C., J.W. Durban, H. Fearnbach, and L.G. Barrett-Lennard",2022,"Morphometrics of mammal-eating killer whales from drone photogrammetry, with comparison to sympatric fish-eating killer whales in the eastern North Pacific",Marine Mammal Science,,Marine mammals,Delphinidae,"killer whale, Orcinus orca","morphometrics, health, physiology, British Columbia, Washington","Kotik, C., J.W. Durban, H. Fearnbach, and L.G. Barrett-Lennard. 2022. Morphometrics of mammal-eating killer whales from drone photogrammetry, with comparison to sympatric fish-eating killer whales in the eastern North Pacific. Marine Mammal Science https://doi.org/10.1111/mms.12965.","hexacopter, octocopter","APH-22, APO-42",,
"Krasylenko, Y., K. Rydlo, N. Atamas, Y. Sosnovsky, O. Horielov, I. Maceček, O. Šamajová, M. Ovečka, T. Takáč, and J. Šamaj",2023,Druid Drone—A portable unmanned aerial vehicle with a multifunctional manipulator for forest canopy and mistletoe research and management,Methods in Ecology and Evolution,,"insects, vegetation",,,"sample collection, Czechis, Ukraine","Krasylenko, Y., K. Rydlo, N. Atamas, Y. Sosnovsky, O. Horielov, I. Maceček, O. Šamajová, M. Ovečka, T. Takáč, and J. Šamaj. 2023. Druid Drone—A portable unmanned aerial vehicle with a multifunctional manipulator for forest canopy and mistletoe research and management. Methods in Ecology and Evolution https://doi.org/10.1111/2041-210X.14058.",quadcopter,"DJI Mavic 2 Pro, Air 2, Phantom 3 or custom Rotorama",,
"Krause, D. and J. Hinke",2020,Surveying Antarctic Predators to Inform Fisheries Management,,Study summary,"Birds, marine mammals","Otariidae, Spheniscidae","Antarctic fur seal, Arctocephalus gazella, penguin","species detection, morphometrics, Antarctica","Krause, D. and J. Hinke. 2020. Surveying Antarctic Predators to Inform Fisheries Management. Study Summary. NMFS, Antarctic Ecosystem Research Division.",heavy lift hexacopter,Aerial Imaging Solutions APH-29,,
"Krause, D.J. and J.T. Hinke",2021,"Finally Within Reach: A Drone Census of an Important, But Practically Inaccessible, Antarctic Fur Seal Colony",Aquatic Mammals,,Marine mammals,Otariidae,"Antarctic fur seal, Arctocephalus gazella","Population census, Antarctica","Krause, D.J. and J.T. Hinke. 2021. Finally Within Reach: A Drone Census of an Important, But Practically Inaccessible, Antarctic Fur Seal Colony. Aquatic Mammals https://doi.org/10.1578/AM.47.4.2021.349.",hexacopter,Aerial Imaging Solutions APH-28,Olympus E-PM2 16.1 MP camera,
"Krause, D.J., J.T. Hinke, M.E. Goebel, and W.L. Perryman",2021,Drones Minimize Antarctic Predator Responses Relative to Ground Survey Methods: An Appeal for Context in Policy Advice,Frontiers in Marine Science,,"Birds, marine mammals","Spheniscidae, Phocidae","chinstrap penguin, Pygoscelis
antarcticus, Antarctic fur seal, Arctocephalus gazella, leopard seal, Hydrurga leptonyx","disturbance, acoustic effects, noise, best practices, ground vs aerial surveys, Antarctica","Krause, D.J., J.T. Hinke, M.E. Goebel, and W.L. Perryman. 2021. Drones Minimize Antarctic Predator Responses Relative to Ground Survey Methods: An Appeal for Context in Policy Advice. Frontiers in Marine Science 8:648772. doi: 10.3389/fmars.2021.648772.",Hexacopter,Aerial Imaging Solutions APH-22,Olympus E-PM2 camera,
"Krause, D.J., J.T. Hinke, W.L. Perryman, M.E. Goebel, and D.J. LeRoi",2017,An accurate and adaptable photogrammetric approach for estimating the mass and body condition of pinnipeds using an unmanned aerial system,PLoS ONE,,Marine mammals,Phocidae,"Leopard seal, Hydrurga leptonyx","species detection, morphometrics, ground vs aerial surveys, Antarctica","Krause, D.J., J.T. Hinke, W.L. Perryman, M.E. Goebel, and D.J. LeRoi. 2017. An accurate and adaptable photogrammetric approach for estimating the mass and body condition of pinnipeds using an unmanned aerial system. PLoS ONE 12(11): e0187465. https://doi.org/10.1371/journal.pone.0187465.",Hexacopter,Aerial Imaging Solutions APH-22,Olympus E-PM2 16.1-MP camera,
"Krishnan, B.S., L.R. Jones, J.A. Elmore, S. Samiappan, K.O. Evans, M.B. Pfeiffer, B.F. Blackwell, and R.B. Iglay",2023,Fusion of visible and thermal images improves automated detection and classification of animals for drone surveys,Scientific Reports,,mammals,"Cervidae, Bovidae, Equidae","white-tailed deer, Odocoileus virginianus, domestic cattle, Bos taurus, domestic horse, Equus caballus","species detection, sensors, ","Krishnan, B.S., L.R. Jones, J.A. Elmore, S. Samiappan, K.O. Evans, M.B. Pfeiffer, B.F. Blackwell, and R.B. Iglay. 2023. Fusion of visible and thermal images improves automated detection and classification of animals for drone surveys. Scientific Reports https://doi.org/10.1038/s41598-023-37295-7.",quadcopter,DJI Matrice 200 V1,DJI Zenmuse XT1,
"Kronberg, J. and K. Bauer",2017,Kopter im Wiesenweihenschutz – neue Perspektiven. Einsatz eines Kopters mit Wärmebild- und GoPro-Kamera zum Schutz der Wiesenweihe Circus pygargus (Using drones to protect Montagu's Harrier - new perspectives. Suitability of the use of a drone system combining visible light and infrared cameras for the localisation of Montagu's Harrier Circus pygargus nests),Vogelwelt,,Birds,Accipitridae,"Montagu's harrier, Circus pygargus","species detection, nest detection, Germany","Kronberg, J. and K. Bauer. 2017. Kopter im Wiesenweihenschutz – neue Perspektiven. Einsatz eines Kopters mit Wärmebild- und GoPro-Kamera zum Schutz der Wiesenweihe Circus pygargus (Using drones to protect Montagu's Harrier - new perspectives. Suitability of the use of a drone system combining visible light and infrared cameras for the localisation of Montagu's Harrier Circus pygargus nests). Vogelwelt 137: 396-403. [in German w/English translation]",octocopter,Mikrokopter Okto XL2 4s,GoPro camera & Optris PI-450 IR camera,
"Kudo, H., Y. Koshino, A. Eto, M. Ichimura, and M. Kaeriyama",2012,"Cost-effective accurate estimates of adult chum salmon, Oncorhynchus keta, abundance in a Japanese river using a radio-controlled helicopter",Fisheries Research,,Fish,Salmonidae,"chum salmon, Oncorhynchus keta","population estimate, species identification, Japan","Kudoa, H., Y. Koshinoa, A. Etoa, M. Ichimura, and M. Kaeriyamaa. 2012. Cost-effective accurate estimates of adult chum salmon, Oncorhynchus keta, abundance in a Japanese river using a radio-controlled helicopter. Fisheries Research 119-120: 94-98.",RC helicopter,Voyager GSR260,Canon EOS Kiss X,
"Kuhlmann, K., A. Fontaine, É. Brisson-Curadeau, D.M. Bird, and K.H. Elliott",2022,Miniaturization eliminates detectable impacts of drones on bat activity,Methods in Ecology and Evolution,,Mammals,,"hoary bat, Lasiurus cinereus, silver-haired bat, Lasionycteris noctivagans, big brown bat, Eptesicus fuscus, Eastern red bat, Lasiurus borealis, tri-colored bat, Perimyotis subflavus, little brown myotis, Myotis lucifugus, northern long-eared myotis, Myotis septentrionalis, eastern small-footed myotis, Myotis leibii","disturbance, acoustic, behavior, Quebec","Kuhlmann, K., A. Fontaine, É. Brisson-Curadeau, D.M. Bird, and K.H. Elliott. 2022. Miniaturization eliminates detectable impacts of drones on bat activity. Methods in Ecology and Evolution https://doi.org/10.1111/2041-210X.13807.",quadcopter,"DJI Phantom 4, DJI Mavic 2 Pro, and DJI Mavic Mini",,
"Kung, O., C. Strecha, A. Beyeler, J-C. Zufferey, D. Floreano, P. Fua, and F. Gervaix",2011,The Accuracy of Automatic Photogrammetric Techniques on Ultra-Light UAV Imagery,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",,Data analysis,,,"data analysis, digital elevation model","Kung, O., C. Strecha, A. Beyeler, J-C. Zufferey, D. Floreano, P. Fua, and F. Gervaix. 2011. The Accuracy of Automatic Photogrammetric Techniques on Ultra-Light UAV Imagery. International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume XXXVIII-1/C22. ISPRS Zurich 2011 Workshop, September 14-16, 2011, Zurich, Switzerland.",,,,
"Laborie, J., F. Christiansen, K. Beedholm, P.T. Madsen, and K. Heerah",2021,Behavioural impact assessment of unmanned aerial vehicles on Weddell seals (Leptonychotes weddellii),Journal of Experimental Marine Biology and Ecology,,Marine mammals,Phocidae,"Weddell seal, Leptonychotes weddellii","disturbance, noise, acoustic effects, Antarctica","Laborie, J., F. Christiansen, K. Beedholm, P.T. Madsen, and K. Heerah. 2021. Behavioural impact assessment of unmanned aerial vehicles on Weddell seals (Leptonychotes weddellii). Journal of Experimental Marine Biology and Ecology 536: https://doi.org/10.1016/j.jembe.2020.151509.",quadcopter,DJI Mavic 2 ZOOM,DJI 12-MP camera,
"Lachman, D., C. Conway, K.erri Vierling, and T. Matthews",2020,Drones provide a better method to find nests and estimate nest survival for colonial waterbirds: a demonstration with Western Grebes,Wetlands Ecology and Management,,Birds,Podicipedidae,"western grebe, Aechmophorus occidentalis","colonial waterbird, nest monitoring, nest survival, nest census, disturbance, Idaho","Lachman, D., C. Conway, K.erri Vierling, and T. Matthews. 2020. Drones provide a better method to find nests and estimate nest survival for colonial waterbirds: a demonstration with Western Grebes. Wetlands Ecology and Management 28: 837-845.",Quadcopter,3DR Solo,"GoPro HERO4 Silver; 
Ricoh GR II 16.2-MP camera",
"Laghari, A.A., A.K. Jumani, R.A. Laghari, and H. Nawaz",2023,Unmanned aerial vehicles: A review,Cognitive Robotics,,review,,,"review, platforms, sensors, applications, security","Laghari, A.A., A.K. Jumani, R.A. Laghari, and H. Nawaz. 2023. Unmanned aerial vehicles: A review. Cognitive Robotics https://doi.org/10.1016/j.cogr.2022.12.004.",,,,
"Lahoz-Monfort, J.J. and M.J.L. Magrath",2021,A Comprehensive Overview of Technologies for Species and Habitat Monitoring and Conservation,BioScience,,review,,,review,"Lahoz-Monfort, J.J. and M.J.L. Magrath. 2021. A Comprehensive Overview of Technologies for Species and Habitat Monitoring and Conservation. BioScience https://doi.org/10.1093/biosci/biab073/6322306.",,,,
"Lahoz-Monfort, J.J., I. Chadès, A. Davies, E. Fegraus, E. Game, G. Guillera-Arroita, R. Harcourt, K. Indraswari, J. Mcgowan, J.L. Oliver, J. Refisch, J. Rhodes, P. Roe, A. Rogers, A. Ward, D.M. Watson, J.E.M. Watson, B.A. Wintle, and L. Joppa",2019,A Call for International Leadership and Coordination to Realize the Potential of Conservation Technology,BioScience,,review,,,Review,"Lahoz-Monfort, J.J., I. Chadès, A. Davies, E. Fegraus, E. Game, G. Guillera-Arroita, R. Harcourt, K. Indraswari, J. Mcgowan, J.L. Oliver, J. Refisch, J. Rhodes, P. Roe, A. Rogers, A. Ward, D.M. Watson, J.E.M. Watson, B.A. Wintle, and L. Joppa. 2019. A Call for International Leadership and Coordination to Realize the Potential of Conservation Technology. BioScience https://doi.org/10.1093/biosci/biz090.",,,,
"Lalach, L.A.R., D.W. Bradley, D.F. Bertram, and L.K. Blight",2023,Using drone imagery to obtain population data of colony-nesting seabirds to support Canada’s transition to the global Key Biodiversity Areas program,Nature Conservation,,Birds,Laridae,"glaucous-winged gull, Larus glaucescens","population estimate, disturbance, British Columbia","Lalach, L.A.R., D.W. Bradley, D.F. Bertram, and L.K. Blight. 2023. Using drone imagery to obtain population data of colony-nesting seabirds to support Canada’s transition to the global Key Biodiversity Areas program. Nature Conservation https://doi.org/10.3897/natureconservation.51.96366.",quadcopter,DJI Mavic 2 Pro,20-MP Hasselblad L1D-20c camera,
"Landeo-Yauri, S.S., D.N. Castelblanco-Martınez, Y. Henaut, M.R. Arreola, and E.A. Ramos",2021,Behavioural and physiological responses of captive Antillean manatees to small aerial drones,Wildlife Research,,marine mammals,Trichechidae,"Antillean manatee, Trichechus manatus manatus","disturbance, behavioral response, Mexico","Landeo-Yauri, S.S., D.N. Castelblanco-Martınez, Y. Henaut, M.R. Arreola, and E.A. Ramos. 2021. Behavioural and physiological responses of captive Antillean manatees to small aerial drones. Wildlife Research https://doi.org/10.1071/WR20159. ",quadcopter,DJI Phantom 3 Advanced,12.4-MP camera,
"Landeo-Yauri, S.S., E.A. Ramos, D.N. Castelblanco-Martínez, C.A. Niño-Torres, and L. Searle",2020,Using small drones to photo-identify Antillean manatees: a novel method for monitoring an endangered marine mammal in the Caribbean Sea,Endangered Species Research,,Marine mammals,Trichechidae,"Antillean manatee, Trichechus manatus manatus","species detection, habitat use, individual detection, Belize","Landeo-Yauri, S.S., E.A. Ramos, D.N. Castelblanco-Martínez, C.A. Niño-Torres, and L. Searle. 2020. Using small drones to photo-identify Antillean manatees: a novel method for monitoring an endangered marine mammal in the Caribbean Sea. Endangered Species Research 41: 79-90.",quadcopter,DJI Phantom 3 Pro and Phantom 4,DJI 12.4-MP camera,
"Larsen, G.D.",2022,Advancing Drone Methods for Pinniped Ecology and Management,,Dissertation,Marine mammals,"Phocidae, Otariidae","gray seal, Halichoerus grypus, Pacific harbor seal. Phoca vitulina richardii, northern fur seal, Callorhinus ursinus, Steller sea lion, Eumetopias jubatus, Antarctic fur seal, Arctocephalus gazella,","species detection, morphometrics, health, physiology, disturbance, Massachussetts, Nova Scotia, Antarctica","Larsen, G.D.. 2022. Advancing Drone Methods for Pinniped Ecology and Management. Dissertation, Department of Marine Science and Conservation, Duke University, NC.","fixed-wing, quadcopter","SenseFly eBee, SenseFly eBee Plus, DJI Phantom 4 Pro","12-MP Canon s110 RGB camera, 20-MP SenseFly SODA 1 RGB camera, ThermoMap IR, ",
"Larsen, G.D. and D.W. Johnston",2023,Growth and opportunities for drone surveillance in pinniped research,Mammal Review,,Marine mammals,,,review,"Larsen, G.D. and D.W. Johnston. 2023. Growth and opportunities for drone surveillance in pinniped research. Mammal Review https://doi.org/10.1111/mam.12325.",,,,
"Larsen, G.D., A.C. Seymour, E.L. Richmond, L.M. Divine, E.E. Moreland, E. Newton, J.M. London, and D.W. Johnston",2022,Drones reveal spatial patterning of sympatric Alaskan pinniped species and drivers of their local distributions,Drone Systems and Applications,,Marine mammals,"Otariidae, Phocidae","Pacific harbor seal, Phoca vitulina richardsi, northern fur seal. Callorhinus ursinus","species identification, distribution, Alaska","Larsen, G.D., A.C. Seymour, E.L. Richmond, L.M. Divine, E.E. Moreland, E. Newton, J.M. London, and D.W. Johnston. 2022. Drones reveal spatial patterning of sympatric Alaskan pinniped species and drivers of their local distributions. Drone Systems and Applications https://doi.org/10.1139/dsa-2021-0050.",fixed-wing,senseFly eBee plus,"20-MP RGB camera, ThermoMap thermal IR",
"Larsen, H.L. K. Møller-Lassesen, E.M.E. Enevoldsen, S.B. Madsen, M.T. Obsen, P/ Povlsen, D. Bruhn, C. Pertoldi, and S. Pagh",2023,Drone with Mounted Thermal Infrared Cameras for Monitoring Terrestrial Mammals,Drones,,Mammals,Cervidae,"red deer, Cervus elaphus, roe deer, Capreolus capreoulus","species detection, population estimate, disturbance, Denmark","Larsen, H.L., K. Møller-Lassesen, E.M.E. Enevoldsen, S.B. Madsen, M.T. Obsen, P. Povlsen, D. Bruhn, C. Pertoldi, and S. Pagh. 2023. Drone with Mounted Thermal Infrared Cameras for
Monitoring Terrestrial Mammals. Drones https://doi.org/10.3390/drones7110680.",quadcopter,DJI Matrice 300 RTK,Zenmuse H20N thermal camera,
"Latifi, H., R. Valbuena, and C.A. Silva",2023,Towards complex applications of active remote sensing for ecology and conservation,Methods in Ecology and Evolution,,review,,,review,"Latifi, H., R. Valbuena, and C.A. Silva. 2023. Towards complex applications of active remote sensing for ecology and conservation. Methods in Ecology and Evolution https://doi.org/10.1111/2041-210X.14154.",,,,
"Latta, S.C., M.A. Michaels, T.C. Michot, P.L. Shrum, P. Johnson, J. Tischendorf, M. Weeks, J. Trochet, D. Scheifler, and Bob Ford",2023,Multiple lines of evidence suggest the persistence of the Ivory-billed Woodpecker (Campephilus principalis) in Louisiana,Ecology and Evolution,,birds,Picidae,"ivory-billed woodpecker, Campephilus principalis","species detection, Louisiana","Latta, S.C., M.A. Michaels, T.C. Michot, P.L. Shrum, P. Johnson, J. Tischendorf, M. Weeks, J. Trochet, D. Scheifler, and Bob Ford. 2023. Multiple lines of evidence suggest the persistence of the Ivory-billed Woodpecker (Campephilus principalis) in Louisiana. Ecology and Evolution https://doi.org/10.1002/ece3.10017.",quadcopter,"DJI Mavic 2 Zoom, Autel Evo II",RGB camera,
"Laute, A., M. Glarou, F. Dodds, S.C.G. Røsand, T.J. Grove, A. Stoller, M.H. Rasmussen, and M.E.H. Fournet",2023,Underwater sound of three unoccupied aerial vehicles at varying altitudes and horizontal distances,Journal of the Acoustical Society of America,,marine mammals,,,"acoustics, disturbance","Laute, A., M. Glarou, F. Dodds, S.C.G. Røsand, T.J. Grove, A. Stoller, M.H. Rasmussen, and M.E.H. Fournet. 2023. Underwater sound of three unoccupied aerial vehicles at varying altitudes and horizontal distances. Journal of the Acoustical Society of America https://doi.org/10.1121/10.0019805.",quadcopter,"DJI Mavic Pro Platinum, Phantom 4 Pro v2.0, Inspire 1 Pro",,
"Lawrence, B.",2022,Classifying Forest Structure of Red-Cockaded Woodpecker Habitat Using Structure from Motion Elevation Data De-Rived from sUAS Imagery,Drones,,Birds,Picidae,"red-cockaded woodpecker, Dryobates borealis","photogrammetry, Texas","Lawrence, B. 2022. Classifying Forest Structure of Red-Cockaded Woodpecker Habitat Using Structure from Motion Elevation Data De-Rived from sUAS Imagery. Drones https://doi.org/10.3390/drones6010026.",quadcopter,DJI Mavic Pro Platinum,DJI-FC220 RGB camera,
"Lawrence, B., E. de Lemmus, and H. Cho",2023,UAS-Based Real-Time Detection of Red-Cockaded Woodpecker Cavities in Heterogeneous Landscapes Using YOLO Object Detection Algorithms,Remote Sensing,,Birds,Picidae,"red-cockaded woodpecker, Dryobates borealis","population estimate, ground vs aerial surveys, CNN, Texas","Lawrence, B., E. de Lemmus, and H. Cho. 2023. UAS-Based Real-Time Detection of Red-Cockaded Woodpecker Cavities in Heterogeneous Landscapes Using YOLO Object Detection Algorithms. Remote Sensing https://doi.org/10.3390/rs15040883.",quadcopter,"DJI Mavic Pro Platinum, DJI Mavic 2 Pro",,
"Le Maho, Y., J.D. Whittington, N. Hanuise, L. Pereira, M. Boureau, M. Brucker, N. Chatelain, J. Courtecuisse, F. Crenner, B. Friess, E. Grosbellet, L. Kernaléguen, F. Olivier, C. Saraux, N. Vetter, V.A. Viblanc, B. Thierry, P. Tremblay, R. Groscolas, and C. Le Bohec",2014,Rovers minimize human disturbance in research on wild animals,Nature Methods,,"Birds, marine mammals","Spheniscidae, Phocidae","king penguin, Aptenodytes patagonicus, emperor penguin, Aptenodytes forsteri, southern elephant seal, Mirounga leonina","disturbance, behavior, physiology, ","Le Maho, Y., J.D. Whittington, N. Hanuise, L. Pereira, M. Boureau, M. Brucker, N. Chatelain, J. Courtecuisse, F. Crenner, B. Friess, E. Grosbellet, L. Kernaléguen, F. Olivier, C. Saraux, N. Vetter, V.A. Viblanc, B. Thierry, P. Tremblay, R. Groscolas, and C. Le Bohec. 2014. Rovers minimize human disturbance in research on wild animals. Nature Methods 11(12):1242-4. doi: 10.1038/nmeth.3173.",,Note: 4-wheeled rover not UAS,,
"Lea, J.S.E., R. Daly, C. Leon, C.A.K. Daly, and C.R. Clarke",2018,Life after death: behaviour of multiple shark species scavenging a whale carcass,Marine and Freshwater Research,,Fish,"Physeteridae, Carcharhinidae, Ginglymostomatidae","sperm whale, Physeter microcephalus, tiger shark, Galeocerdo cuvier, bull shark, Carcharhinus leucas, tawny nurse shark, Nebrius ferrugineus","foraging behavior, Seychelles","Lea, J.S.E., R. Daly, C. Leon, C.A.K. Daly, and C.R. Clarke. 2018. Life after death: behaviour of multiple shark species scavenging a whale carcass. Marine and Freshwater Research 70: 302-306.",quadcopter,DJI Phantom 4,,
"Lee, S., Y. Song, and S.-H. Kil",2021,Feasibility Analyses of Real-Time Detection of Wildlife Using UAV-Derived Thermal and RGB Images,Remote Sensing,,"Birds, mammals",,"alpaca, Vicugna pacos, sika deer, Cervus nippon, ostrich, Struthio camelus, camel, Camelus bactrianus","sensors, detection probability, Korea","Lee, S.Y. Song, and S.-H. Kil. 2021. Feasibility Analyses of Real-Time Detection of Wildlife Using UAV-Derived Thermal and RGB Images. Remote Sensing https://doi.org/10.3390/rs13112169.",quadcopter,DJI Matrice 210,DJI Zenmuse XT2 TIR camera,
"Lee, W.Y., M. Park, and C.-U. Hyun",2019,Detection of two Arctic birds in Greenland and an endangered bird in Korea using RGB and thermal cameras with an unmanned aerial vehicle (UAV),PloS ONE,,Birds,"Anatidae, Charadriidae, Threskiornithidae","pink-footed goose, Anser brachyrhynchus, common ringed plover, Charadrius hiaticula, black-faced spoonbill, Platalea minor","species identification, disturbance, Greenland, South Korea","Lee, W.Y., M. Park, and C.-U. Hyun. 2019. Detection of two Arctic birds in Greenland and an endangered bird in Korea using RGB and thermal cameras with an unmanned aerial vehicle (UAV). PloS ONE 14(9): e0222088. https://doi.org/
10.1371/journal.pone.0222088. ",Quadcopter,DAYA 550,"FLIR Vue Pro R, Phantom 4 20-MP camera",
"Lenzi, J., A.F. Barnas, A.A. ElSaid, T. Desell, R.F. Rockwell, and S.N. Ellis‑Felege",2023,Artificial intelligence for automated detection of large mammals creates path to upscale drone surveys,Scientific Reports,,Mammals,Cervidae,"caribou, Rangifer tarandus","convolutional neural networks, machine learning, species detection, Manitoba","Lenzi, J., A.F. Barnas, A.A. ElSaid, T. Desell, R.F. Rockwell, and S.N. Ellis‑Felege. 2023. Artificial intelligence for automated detection of large mammals creates path to upscale drone surveys. Scientific Reports https://doi.org/10.1038/s41598-023-28240-9.",fixed-wing,Trimble UX5,16.1-MP camera,
"Lenzi, J., C.J. Felege, R. Newman, B. McCann, and S.N. Ellis-Felege",2022,"Feral Horses and Bison at Theodore Roosevelt National Park (North Dakota, United States) Exhibit Shifts in Behaviors during Drone Flights",Drones,,Mammals,"Equidae, Bovidae","feral horse, Equus caballus, Bison, Bison bison","disturbance, behavior, North Dakota","Lenzi, J., C.J. Felege, R. Newman, B. McCann, and S.N. Ellis-Felege. 2022. Feral Horses and Bison at Theodore Roosevelt National Park (North Dakota, United States) Exhibit Shifts in Behaviors during Drone Flights. Drones https://doi.org/10.3390/drones6060136.",fixed-wing,Trimble UX5,,
"Lešetický, J., P. Matějka, and M. Olmr",2019,Detection of Animal Occurrence Using an Unmanned System,Scientia Agriculturae Bohemica,,Mammals,Canidae,"domestic dog, Canis familiaris","individual detection, Czech Republic","Lešetický, J., P. Matějka, and M. Olmr. 2019. Detection of Animal Occurrence Using an Unmanned System. Scientia Agriculturae Bohemica https://doi.org/10.2478/sab-2019-0028.",quadcopter,DJI Phantom 1 F300,"Seek Thermal CompactPRO thermal camera, Eachine TX03 RGB FPV camera",
"Leslie, M.S., C.M. Perkins-Taylor, J.W. Durban, M.J. Moore, C.A. Miller, P. Chanarat, P. Bahamonde, G. Chiang, and A. Apprill",2020,Body size data collected non-invasively from drone images indicate a morphologically distinct Chilean blue whale (Balaenoptera musculus) taxon,Endangered Species Research,,Marine mammals,Balaenopteridae,"blue whale, Balaenoptera musculus","morphometrics, species detection, Chile","Leslie, M.S., C.M. Perkins-Taylor, J.W. Durban, M.J. Moore, C.A. Miller, P. Chanarat, P. Bahamonde, G. Chiang, and A. Apprill. 2020. Body size data collected non-invasively from drone images indicate a morphologically distinct Chilean blue whale (Balaenoptera musculus) taxon. Endangered Species Research 43. https://doi.org/10.3354/esr01066.",Hexacopter,APH-22,,
"Leslie, M.S., L. Kant, C. Perkins‑Taylor, M.‑F. Van Bressem, G. Minton, D. MacDonald, F. Christiansen, M.S. Willson, T. Collins, R. Baldwin, S. Al Harthi, and A. Willson",2023,Remote and non‑invasive quantification of ‘Tattoo Skin Disease‑Like’ dermatopathy in endangered Arabian Sea humpback whales using drone photography,Mammalian Biology,,Marine mammals,Balaenopteridae,"humpback whale, Megaptera novaeangliae","photogrammetry, physiology, disease, Oman","Leslie, M.S., L. Kant, C. Perkins‑Taylor, M.‑F. Van Bressem, G. Minton, D. MacDonald, F. Christiansen, M.S. Willson, T. Collins, R. Baldwin, S. Al Harthi, and A. Willson. 2023. Remote and non‑invasive quantification of ‘Tattoo Skin Disease‑Like’ dermatopathy in endangered Arabian Sea humpback whales using drone photography. Mammalian Biology https://doi.org/10.1007/s42991-022-00337-0. ","hexacopter, quadcopter","APH-22, DJI Inspire 1 Pro",,
"Lhoest, S., J. Linchant, S. Quevauvillers, C. Vermeulen, and P. Lejeune",2015,How Many Hippos (HOMHIP): Algorithm for Automatic Counts of Animals with Infra-Red Thermal Imagery from UAV,,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Mammals,Hippopotamidae,"common hippopotamus, Hippopotamus amphibius","species detection, population estimate, machine learning, Democratic Republic of Congo","Lhoest, S., J. Linchant, S. Quevauvillers, C. Vermeulen, and P. Lejeune. 2015. How Many Hippos (HOMHIP): Algorithm for Automatic Counts of Animals with Infra-Red Thermal Imagery from UAV. International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences Volume XL-3/W3: 355-362. ISPRS Geospatial Week, September 28– October 3, 2015, La Grande Motte, France.",fixed-wing,Falcon,Tamarisk 640 IR camera,
"Li, L., D.T. Tietze, A. Fritz, Z. Lü, M. Bürgi, and I. Storch",2018,Rewilding cultural landscape potentially puts both avian diversity and endemism at risk: A Tibetan Plateau case study,Biological Conservation,,Vegetation,,,"habitat mapping, land use, ecological restoration, Tibet","Li, L., D.T. Tietze, A. Fritz, Z. Lü, M. Bürgi, and I. Storch. 2018. Rewilding cultural landscape potentially puts both avian diversity and endemism at risk: A Tibetan Plateau case study. Biological Conservation 224: 75-86.",fixed-wing,senseFly eBee,Canon IXUS 127HS 16-MP RGB camera,
"Li, S., G. Wang, H. Zhang, and Y. Zou",2023,Observing Individuals and Behavior of Hainan Gibbons (Nomascus hainanus) Using Drone Infrared and Visible Image Fusion Technology,Drones,,mammals,Hylobatidae,"Hainan gibbon, Nomascus hainanus","species detection, disturbance, sensor, China","Li, S., G. Wang, H. Zhang, and Y. Zou. 2023. Observing Individuals and Behavior of Hainan Gibbons (Nomascus hainanus) Using Drone Infrared and Visible Image Fusion Technology. Drones https://doi.org/10.3390/drones7090543.",quadcopter,DJI Mavic 2 Enterprise Advanced,IR camera,
